Ensembl,Transcript,Gene,Chromosome,TSS_start,Base,TSS_end,Strand
ENSG00000135823,ENST00000258301,STX6,chr1,180991548,180992048,180992548,-
ENSG00000153029,ENST00000614012,MR1,chr1,181002061,181002561,181003061,+
ENSG00000162783,ENST00000367577,IER5,chr1,181057348,181057848,181058348,+
ENSG00000198216,ENST00000367570,CACNA1E,chr1,181452216,181452716,181453216,+
ENSG00000179930,ENST00000339948,ZNF648,chr1,182030348,182030848,182031348,-
ENSG00000135821,ENST00000311223,GLUL,chr1,182360842,182361342,182361842,-
ENSG00000203730,ENST00000367565,TEDDM1,chr1,182369252,182369752,182370252,-
ENSG00000121446,ENST00000294854,RGSL1,chr1,182418781,182419281,182419781,+
ENSG00000135828,ENST00000367559,RNASEL,chr1,182557892,182558392,182558892,-
ENSG00000143333,ENST00000367558,RGS16,chr1,182573044,182573544,182574044,-
ENSG00000135824,ENST00000483095,RGS8,chr1,182640565,182641065,182641565,-
ENSG00000135838,ENST00000258317,NPL,chr1,182762985,182763485,182763985,+
ENSG00000135829,ENST00000367549,DHX9,chr1,182808004,182808504,182809004,+
ENSG00000157060,ENST00000367547,SHCBP1L,chr1,182922006,182922506,182923006,-
ENSG00000135862,ENST00000258341,LAMC1,chr1,182992095,182992595,182993095,+
ENSG00000058085,ENST00000264144,LAMC2,chr1,183154923,183155423,183155923,+
ENSG00000157064,ENST00000287713,NMNAT2,chr1,183387238,183387738,183388238,-
ENSG00000116698,ENST00000347615,SMG7,chr1,183441137,183441637,183442137,+
ENSG00000116701,ENST00000367535,NCF2,chr1,183559217,183559717,183560217,-
ENSG00000162704,ENST00000359856,ARPC5,chr1,183604362,183604862,183605362,-
ENSG00000143344,ENST00000304685,RGL1,chr1,183604720,183605220,183605720,+
ENSG00000173627,ENST00000308641,APOBEC4,chr1,183621949,183622449,183622949,-
ENSG00000198756,ENST00000361927,COLGALT2,chr1,184006364,184006864,184007364,-
ENSG00000198860,ENST00000361641,TSEN15,chr1,184020311,184020811,184021311,+
ENSG00000116667,ENST00000235307,C1orf21,chr1,184355692,184356192,184356692,+
ENSG00000116406,ENST00000318130,EDEM3,chr1,184723548,184724048,184724548,-
ENSG00000135842,ENST00000367511,FAM129A,chr1,184943183,184943683,184944183,-
ENSG00000121481,ENST00000367510,RNF2,chr1,185013996,185014496,185014996,+
ENSG00000121486,ENST00000367506,TRMT1L,chr1,185125614,185126114,185126614,-
ENSG00000116668,ENST00000367500,SWT1,chr1,185125791,185126291,185126791,+
ENSG00000116679,ENST00000367498,IVNS1ABP,chr1,185285962,185286462,185286962,-
ENSG00000143341,ENST00000271588,HMCN1,chr1,185703183,185703683,185704183,+
ENSG00000116690,ENST00000445192,PRG4,chr1,186264911,186265411,186265911,+
ENSG00000047410,ENST00000367478,TPR,chr1,186343958,186344458,186344958,-
ENSG00000157181,ENST00000287859,C1orf27,chr1,186344501,186345001,186345501,+
ENSG00000268662,ENST00000598663,AL596220.1,chr1,186365409,186365909,186366409,-
ENSG00000262180,ENST00000574641,OCLM,chr1,186369204,186369704,186370204,+
ENSG00000116703,ENST00000391997,PDC,chr1,186429755,186430255,186430755,-
ENSG00000073756,ENST00000367468,PTGS2,chr1,186649060,186649560,186650060,-
ENSG00000116711,ENST00000367466,PLA2G4A,chr1,186797585,186798085,186798585,+
ENSG00000162670,ENST00000367462,BRINP3,chr1,190446513,190447013,190447513,-
ENSG00000150681,ENST00000367460,RGS18,chr1,192127087,192127587,192128087,+
ENSG00000253148,ENST00000417209,RGS21,chr1,192285622,192286122,192286622,+
ENSG00000090104,ENST00000367459,RGS1,chr1,192544357,192544857,192545357,+
ENSG00000127074,ENST00000543215,RGS13,chr1,192604768,192605268,192605768,+
ENSG00000116741,ENST00000235382,RGS2,chr1,192777671,192778171,192778671,+
ENSG00000116750,ENST00000367455,UCHL5,chr1,193028127,193028627,193029127,-
ENSG00000116747,ENST00000367446,TROVE2,chr1,193028664,193029164,193029664,+
ENSG00000023572,ENST00000367440,GLRX2,chr1,193074745,193075245,193075745,-
ENSG00000134371,ENST00000367435,CDC73,chr1,193090647,193091147,193091647,+
ENSG00000162630,ENST00000367434,B3GALT2,chr1,193155285,193155785,193156285,-
ENSG00000162687,ENST00000294725,KCNT2,chr1,196577856,196578356,196578856,-
ENSG00000000971,ENST00000367429,CFH,chr1,196620508,196621008,196621508,+
ENSG00000116785,ENST00000367425,CFHR3,chr1,196743425,196743925,196744425,+
ENSG00000276911,ENST00000367421,RP4-608O15.3,chr1,196788375,196788875,196789375,+
ENSG00000244414,ENST00000320493,CFHR1,chr1,196788387,196788887,196789387,+
ENSG00000134365,ENST00000367416,CFHR4,chr1,196856644,196857144,196857644,+
ENSG00000080910,ENST00000367415,CFHR2,chr1,196912411,196912911,196913411,+
ENSG00000134389,ENST00000256785,CFHR5,chr1,196946186,196946686,196947186,+
ENSG00000143278,ENST00000367412,F13B,chr1,197035898,197036398,197036898,-
ENSG00000066279,ENST00000367409,ASPM,chr1,197115325,197115825,197116325,-
ENSG00000177888,ENST00000367405,ZBTB41,chr1,197169173,197169673,197170173,-
ENSG00000134376,ENST00000367400,CRB1,chr1,197236908,197237408,197237908,+
ENSG00000213047,ENST00000367396,DENND1B,chr1,197743956,197744456,197744956,-
ENSG00000203724,ENST00000367393,C1orf53,chr1,197871277,197871777,197872277,+
ENSG00000143355,ENST00000367387,LHX9,chr1,197886029,197886529,197887029,+
ENSG00000151414,ENST00000367385,NEK7,chr1,198125593,198126093,198126593,+
ENSG00000151418,ENST00000281087,ATP6V1G3,chr1,198509576,198510076,198510576,-
ENSG00000081237,ENST00000442510,PTPRC,chr1,198607670,198608170,198608670,+
ENSG00000116833,ENST00000367362,NR5A2,chr1,199996230,199996730,199997230,+
ENSG00000162702,ENST00000294740,ZNF281,chr1,200378685,200379185,200379685,-
ENSG00000118193,ENST00000367350,KIF14,chr1,200589363,200589863,200590363,-
ENSG00000118197,ENST00000331314,DDX59,chr1,200638598,200639098,200639598,-
ENSG00000118200,ENST00000358823,CAMSAP2,chr1,200708186,200708686,200709186,+
ENSG00000170128,ENST00000304244,GPR25,chr1,200841583,200842083,200842583,+
ENSG00000163362,ENST00000413687,C1orf106,chr1,200863449,200863949,200864449,+
ENSG00000116852,ENST00000422435,KIF21B,chr1,200992329,200992829,200993329,-
ENSG00000081248,ENST00000362061,CACNA1S,chr1,201081195,201081695,201082195,-
ENSG00000232237,ENST00000449188,ASCL5,chr1,201095813,201096313,201096813,-
ENSG00000116857,ENST00000367330,TMEM9,chr1,201123069,201123569,201124069,-
ENSG00000163395,ENST00000335211,IGFN1,chr1,201159453,201159953,201160453,+
ENSG00000081277,ENST00000367324,PKP1,chr1,201252080,201252580,201253080,+
ENSG00000118194,ENST00000236918,TNNT2,chr1,201341883,201342383,201342883,-
ENSG00000159166,ENST00000633953,LAD1,chr1,201367938,201368438,201368938,-
ENSG00000159173,ENST00000361379,TNNI1,chr1,201390375,201390875,201391375,-
ENSG00000174307,ENST00000367311,PHLDA3,chr1,201437813,201438313,201438813,-
ENSG00000159176,ENST00000367306,CSRP1,chr1,201478085,201478585,201479085,-
ENSG00000134369,ENST00000367296,NAV1,chr1,201616877,201617377,201617877,+
ENSG00000198700,ENST00000361565,IPO9,chr1,201797769,201798269,201798769,+
ENSG00000198892,ENST00000362011,SHISA4,chr1,201857336,201857836,201858336,+
ENSG00000163431,ENST00000367288,LMOD1,chr1,201915216,201915716,201916216,-
ENSG00000134375,ENST00000367287,TIMM17A,chr1,201924119,201924619,201925119,+
ENSG00000176393,ENST00000295640,RNPEP,chr1,201951252,201951752,201952252,+
ENSG00000163435,ENST00000359651,ELF3,chr1,201976573,201977073,201977573,+
ENSG00000170075,ENST00000367282,GPR37L1,chr1,202091486,202091986,202092486,+
ENSG00000143862,ENST00000272217,ARL8A,chr1,202113370,202113870,202114370,-
ENSG00000143851,ENST00000309017,PTPN7,chr1,202130210,202130710,202131210,-
ENSG00000133067,ENST00000367278,LGR6,chr1,202162529,202163029,202163529,+
ENSG00000077152,ENST00000367274,UBE2T,chr1,202310609,202311109,202311609,-
ENSG00000077157,ENST00000608999,PPP1R12B,chr1,202317327,202317827,202318327,+
ENSG00000143858,ENST00000367267,SYT2,chr1,202612082,202612582,202613082,-
ENSG00000117139,ENST00000367265,KDM5B,chr1,202778099,202778599,202779099,-
ENSG00000183155,ENST00000367262,RABIF,chr1,202857764,202858264,202858764,-
ENSG00000117153,ENST00000367261,KLHL12,chr1,202895891,202896391,202896891,-
ENSG00000159346,ENST00000340990,ADIPOR1,chr1,202927018,202927518,202928018,-
ENSG00000159348,ENST00000367249,CYB5R1,chr1,202935909,202936409,202936909,-
ENSG00000163444,ENST00000367242,TMEM183A,chr1,202976014,202976514,202977014,+
ENSG00000143847,ENST00000367240,PPFIA4,chr1,202995126,202995626,202996126,+
ENSG00000122180,ENST00000241651,MYOG,chr1,203054665,203055165,203055665,-
ENSG00000163485,ENST00000367236,ADORA1,chr1,203095693,203096193,203096693,+
ENSG00000133055,ENST00000255416,MYBPH,chr1,203144442,203144942,203145442,-
ENSG00000133048,ENST00000255409,CHI3L1,chr1,203155378,203155878,203156378,-
ENSG00000133063,ENST00000367229,CHIT1,chr1,203198300,203198800,203199300,-
ENSG00000159388,ENST00000290551,BTG2,chr1,203274164,203274664,203275164,+
ENSG00000122176,ENST00000354955,FMOD,chr1,203320118,203320618,203321118,-
ENSG00000188783,ENST00000343110,PRELP,chr1,203444456,203444956,203445456,+
ENSG00000188770,ENST00000367222,OPTC,chr1,203462771,203463271,203463771,+
ENSG00000058668,ENST00000357681,ATP2B4,chr1,203595189,203595689,203596189,+
ENSG00000122188,ENST00000442561,LAX1,chr1,203733804,203734304,203734804,+
ENSG00000257315,ENST00000550078,ZBED6,chr1,203764937,203765437,203765937,+
ENSG00000058673,ENST00000545588,ZC3H11A,chr1,203767963,203768463,203768963,+
ENSG00000182004,ENST00000414487,SNRPE,chr1,203830243,203830743,203831243,+
ENSG00000143842,ENST00000367204,SOX13,chr1,204042232,204042732,204043232,+
ENSG00000143845,ENST00000367202,ETNK2,chr1,204120632,204121132,204121632,-
ENSG00000143839,ENST00000272190,REN,chr1,204134951,204135451,204135951,-
ENSG00000170498,ENST00000367194,KISS1,chr1,204165115,204165615,204166115,-
ENSG00000174567,ENST00000308302,GOLT1A,chr1,204182721,204183221,204183721,-
ENSG00000143850,ENST00000272203,PLEKHA6,chr1,204328545,204329045,204329545,-
ENSG00000158615,ENST00000367188,PPP1R15B,chr1,204380420,204380920,204381420,-
ENSG00000133056,ENST00000367187,PIK3C2B,chr1,204459053,204459553,204460053,-
ENSG00000198625,ENST00000367182,MDM4,chr1,204485011,204485511,204486011,+
ENSG00000170382,ENST00000367175,LRRN2,chr1,204590834,204591334,204591834,-
ENSG00000163531,ENST00000360049,NFASC,chr1,204797282,204797782,204798282,+
ENSG00000184144,ENST00000331830,CNTN2,chr1,205011752,205012252,205012752,+
ENSG00000174529,ENST00000367167,TMEM81,chr1,205053089,205053589,205054089,-
ENSG00000117222,ENST00000264515,RBBP5,chr1,205090644,205091144,205091644,-
ENSG00000133059,ENST00000367162,DSTYK,chr1,205180195,205180695,205181195,-
ENSG00000133069,ENST00000358024,TMCC2,chr1,205196804,205197304,205197804,+
ENSG00000163545,ENST00000367157,NUAK2,chr1,205290420,205290920,205291420,-
ENSG00000162873,ENST00000367156,KLHDC8A,chr1,205325667,205326167,205326667,-
ENSG00000186007,ENST00000367154,LEMD1,chr1,205418560,205419060,205419560,-
ENSG00000117266,ENST00000506784,CDK18,chr1,205473226,205473726,205474226,+
ENSG00000174514,ENST00000367147,MFSD4A,chr1,205537605,205538105,205538605,+
ENSG00000158711,ENST00000357992,ELK4,chr1,205600591,205601091,205601591,-
ENSG00000158715,ENST00000367145,SLC45A3,chr1,205649088,205649588,205650088,-
ENSG00000268313,ENST00000598338,AC119673.1,chr1,205681997,205682497,205682997,+
ENSG00000069275,ENST00000367142,NUCKS1,chr1,205718905,205719405,205719905,-
ENSG00000117280,ENST00000367139,RAB29,chr1,205744075,205744575,205745075,-
ENSG00000133065,ENST00000367137,SLC41A1,chr1,205781805,205782305,205782805,-
ENSG00000162877,ENST00000367136,PM20D1,chr1,205818746,205819246,205819746,-
ENSG00000174502,ENST00000367135,SLC26A9,chr1,205912089,205912589,205913089,-
ENSG00000196550,ENST00000367128,FAM72A,chr1,206137957,206138457,206138957,+
ENSG00000198049,ENST00000367126,AVPR1B,chr1,206223476,206223976,206224476,+
ENSG00000196533,ENST00000331555,C1orf186,chr1,206288148,206288648,206289148,-
ENSG00000196188,ENST00000358184,CTSE,chr1,206316959,206317459,206317959,+
ENSG00000163486,ENST00000426388,SRGAP2,chr1,206623284,206623784,206624284,+
ENSG00000143466,ENST00000367120,IKBKE,chr1,206643291,206643791,206644291,+
ENSG00000266094,ENST00000579436,RASSF5,chr1,206680363,206680863,206681363,+
ENSG00000143486,ENST00000271764,EIF2D,chr1,206785313,206785813,206786313,-
ENSG00000143479,ENST00000367109,DYRK3,chr1,206808381,206808881,206809381,+
ENSG00000162889,ENST00000367103,MAPKAPK2,chr1,206857882,206858382,206858882,+
ENSG00000136634,ENST00000423557,IL10,chr1,206945340,206945840,206946340,-
ENSG00000142224,ENST00000620365,IL19,chr1,207006553,207007053,207007553,+
ENSG00000162891,ENST00000367098,IL20,chr1,207038199,207038699,207039199,+
ENSG00000162892,ENST00000294984,IL24,chr1,207070289,207070789,207071289,+
ENSG00000162894,ENST00000367091,FCMR,chr1,207094844,207095344,207095844,-
ENSG00000162896,ENST00000356495,PIGR,chr1,207119312,207119812,207120312,-
ENSG00000162897,ENST00000400962,FCAMR,chr1,207143471,207143971,207144471,-
ENSG00000182795,ENST00000359470,C1orf116,chr1,207205593,207206093,207206593,-
ENSG00000180667,ENST00000315927,YOD1,chr1,207223923,207224423,207224923,-
ENSG00000123836,ENST00000367080,PFKFB2,chr1,207226105,207226605,207227105,+
ENSG00000123843,ENST00000243611,C4BPB,chr1,207262083,207262583,207263083,+
ENSG00000123838,ENST00000367070,C4BPA,chr1,207277107,207277607,207278107,+
ENSG00000196352,ENST00000367064,CD55,chr1,207494353,207494853,207495353,+
ENSG00000117322,ENST00000367058,CR2,chr1,207627075,207627575,207628075,+
ENSG00000203710,ENST00000367049,CR1,chr1,207669113,207669613,207670113,+
ENSG00000197721,ENST00000508064,CR1L,chr1,207818019,207818519,207819019,+
ENSG00000117335,ENST00000322875,CD46,chr1,207924902,207925402,207925902,+
ENSG00000174059,ENST00000310833,CD34,chr1,208084248,208084748,208085248,-
ENSG00000076356,ENST00000367033,PLXNA2,chr1,208417166,208417666,208418166,-
ENSG00000008118,ENST00000009105,CAMK1G,chr1,209756562,209757062,209757562,+
ENSG00000196878,ENST00000391911,LAMB3,chr1,209824180,209824680,209825180,-
ENSG00000123689,ENST00000367029,G0S2,chr1,209848265,209848765,209849265,+
ENSG00000117594,ENST00000367028,HSD11B1,chr1,209859025,209859525,209860025,+
ENSG00000009790,ENST00000367024,TRAF3IP3,chr1,209931343,209931843,209932343,+
ENSG00000162757,ENST00000294811,C1orf74,chr1,209957405,209957905,209958405,-
ENSG00000117595,ENST00000367021,IRF6,chr1,209978890,209979390,209979890,-
ENSG00000117597,ENST00000491415,DIEXF,chr1,210000852,210001352,210001852,+
ENSG00000143469,ENST00000472886,SYT14,chr1,210111096,210111596,210112096,+
ENSG00000082497,ENST00000367012,SERTAD4,chr1,210405644,210406144,210406644,+
ENSG00000054392,ENST00000367010,HHAT,chr1,210502144,210502644,210503144,+
ENSG00000143473,ENST00000271751,KCNH1,chr1,211306816,211307316,211307816,-
ENSG00000117625,ENST00000419091,RCOR3,chr1,211432275,211432775,211433275,+
ENSG00000082512,ENST00000336184,TRAF5,chr1,211499457,211499957,211500457,+
ENSG00000198570,ENST00000367002,RD3,chr1,211665760,211666260,211666760,-
ENSG00000170385,ENST00000367001,SLC30A1,chr1,211751585,211752085,211752585,-
ENSG00000117650,ENST00000366999,NEK2,chr1,211848461,211848961,211849461,-
ENSG00000123684,ENST00000366997,LPGAT1,chr1,212003615,212004115,212004615,-
ENSG00000143493,ENST00000366994,INTS7,chr1,212208385,212208885,212209385,-
ENSG00000143476,ENST00000366991,DTL,chr1,212208419,212208919,212209419,+
ENSG00000066027,ENST00000261461,PPP2R5A,chr1,212458379,212458879,212459379,+
ENSG00000065600,ENST00000261455,TMEM206,chr1,212587738,212588238,212588738,-
ENSG00000117691,ENST00000366988,NENF,chr1,212605729,212606229,212606729,+
ENSG00000162772,ENST00000341491,ATF3,chr1,212781512,212782012,212782512,+
ENSG00000162771,ENST00000294829,FAM71A,chr1,212797316,212797816,212798316,+
ENSG00000123685,ENST00000243440,BATF3,chr1,212872828,212873328,212873828,-
ENSG00000117697,ENST00000366977,NSL1,chr1,212964625,212965125,212965625,-
ENSG00000203705,ENST00000366974,TATDN3,chr1,212964670,212965170,212965670,+
ENSG00000185523,ENST00000332912,SPATA45,chr1,213020492,213020992,213021492,-
ENSG00000162769,ENST00000366971,FLVCR1,chr1,213031097,213031597,213032097,+
ENSG00000143494,ENST00000366965,VASH2,chr1,213123477,213123977,213124477,+
ENSG00000174606,ENST00000366962,ANGEL2,chr1,213188669,213189169,213189669,-
ENSG00000136643,ENST00000366960,RPS6KC1,chr1,213224097,213224597,213225097,+
ENSG00000117707,ENST00000498508,PROX1,chr1,214160778,214161278,214161778,+
ENSG00000143499,ENST00000366957,SMYD2,chr1,214454076,214454576,214455076,+
ENSG00000152104,ENST00000366956,PTPN14,chr1,214724067,214724567,214725067,-
ENSG00000117724,ENST00000366955,CENPF,chr1,214776038,214776538,214777038,+
ENSG00000082482,ENST00000391894,KCNK2,chr1,215255967,215256467,215256967,+
ENSG00000136636,ENST00000259154,KCTD3,chr1,215740235,215740735,215741235,+
ENSG00000042781,ENST00000307340,USH2A,chr1,216596239,216596739,216597239,-
ENSG00000196482,ENST00000391890,ESRRG,chr1,216896315,216896815,216897315,-
ENSG00000092978,ENST00000366935,GPATCH2,chr1,217803925,217804425,217804925,-
ENSG00000162814,ENST00000366933,SPATA17,chr1,217804166,217804666,217805166,+
ENSG00000067533,ENST00000366932,RRP15,chr1,218458129,218458629,218459129,+
ENSG00000092969,ENST00000366930,TGFB2,chr1,218519077,218519577,218520077,+
ENSG00000143353,ENST00000366928,LYPLAL1,chr1,219346686,219347186,219347686,+
ENSG00000215817,ENST00000367211,ZC3H11B,chr1,219785912,219786412,219786912,-
ENSG00000196660,ENST00000366926,SLC30A10,chr1,220101445,220101945,220102445,-
ENSG00000136628,ENST00000366923,EPRS,chr1,220219501,220220001,220220501,-
ENSG00000162813,ENST00000469520,BPNT1,chr1,220263305,220263805,220264305,-
ENSG00000067704,ENST00000366922,IARS2,chr1,220266944,220267444,220267944,+
ENSG00000118873,ENST00000358951,RAB3GAP2,chr1,220445297,220445797,220446297,-
ENSG00000224867,ENST00000416839,AC096644.1,chr1,220607524,220608024,220608524,-
ENSG00000116141,ENST00000366917,MARK1,chr1,220701399,220701899,220702399,+
ENSG00000162817,ENST00000294889,C1orf115,chr1,220862687,220863187,220863687,+
ENSG00000117791,ENST00000366913,MARC2,chr1,220921176,220921676,220922176,+
ENSG00000186205,ENST00000366910,MARC1,chr1,220959601,220960101,220960601,+
ENSG00000136630,ENST00000366903,HLX,chr1,221052242,221052742,221053242,+
ENSG00000143507,ENST00000366899,DUSP10,chr1,221915019,221915519,221916019,-
ENSG00000143512,ENST00000343410,HHIPL2,chr1,222720946,222721446,222721946,-
ENSG00000143498,ENST00000350027,TAF1A,chr1,222762776,222763276,222763776,-
ENSG00000154305,ENST00000344922,MIA3,chr1,222790928,222791428,222791928,+
ENSG00000186063,ENST00000340020,AIDA,chr1,222885367,222885867,222886367,-
ENSG00000162819,ENST00000340934,BROX,chr1,222885395,222885895,222886395,+
ENSG00000197520,ENST00000445590,FAM177B,chr1,222919371,222919871,222920371,+
ENSG00000154309,ENST00000284476,DISP1,chr1,223101266,223101766,223102266,+
ENSG00000187554,ENST00000540964,TLR5,chr1,223310130,223310630,223311130,-
ENSG00000143502,ENST00000343846,SUSD4,chr1,223536902,223537402,223537902,-
ENSG00000178395,ENST00000366875,CCDC185,chr1,223566259,223566759,223567259,+
ENSG00000203697,ENST00000366872,CAPN8,chr1,223852937,223853437,223853937,-
ENSG00000162909,ENST00000295006,CAPN2,chr1,223899534,223900034,223900534,+
ENSG00000143514,ENST00000343537,TP53BP2,chr1,224033175,224033675,224034175,-
ENSG00000269358,ENST00000600307,AC138393.1,chr1,224215872,224216372,224216872,-
ENSG00000143756,ENST00000366862,FBXO28,chr1,224301289,224301789,224302289,+
ENSG00000143753,ENST00000323699,DEGS1,chr1,224370373,224370873,224371373,+
ENSG00000143748,ENST00000281701,NVL,chr1,224517590,224518090,224518590,-
ENSG00000143771,ENST00000465271,CNIH4,chr1,224544052,224544552,224545052,+
ENSG00000162923,ENST00000414423,WDR26,chr1,224621502,224622002,224622502,-
ENSG00000143786,ENST00000272133,CNIH3,chr1,224803495,224803995,224804495,+
ENSG00000185842,ENST00000430092,DNAH14,chr1,225116856,225117356,225117856,+
ENSG00000203691,ENST00000366845,AC092811.1,chr1,225599904,225600404,225600904,+
ENSG00000143815,ENST00000338179,LBR,chr1,225616058,225616558,225617058,-
ENSG00000154380,ENST00000366844,ENAH,chr1,225840345,225840845,225841345,-
ENSG00000143742,ENST00000304786,SRP9,chr1,225965031,225965531,225966031,+
ENSG00000143819,ENST00000614058,EPHX1,chr1,225997614,225998114,225998614,+
ENSG00000196187,ENST00000366835,TMEM63A,chr1,226069570,226070070,226070570,-
ENSG00000243709,ENST00000272134,LEFTY1,chr1,226076347,226076847,226077347,-
ENSG00000143811,ENST00000343818,PYCR2,chr1,226111460,226111960,226112460,-
ENSG00000255835,ENST00000432920,RP4-559A3.7,chr1,226111479,226111979,226112479,-
ENSG00000143768,ENST00000366820,LEFTY2,chr1,226128690,226129190,226129690,-
ENSG00000143751,ENST00000272091,SDE2,chr1,226186533,226187033,226187533,-
ENSG00000163041,ENST00000366813,H3F3A,chr1,226251178,226251678,226252178,+
ENSG00000182827,ENST00000366812,ACBD3,chr1,226373932,226374432,226374932,-
ENSG00000185155,ENST00000366810,MIXL1,chr1,226410819,226411319,226411819,+
ENSG00000183814,ENST00000328205,LIN9,chr1,226496935,226497435,226497935,-
ENSG00000143799,ENST00000366794,PARP1,chr1,226595275,226595775,226596275,-
ENSG00000203685,ENST00000366788,STUM,chr1,226736001,226736501,226737001,+
ENSG00000143772,ENST00000429204,ITPKB,chr1,226926377,226926877,226927377,-
ENSG00000143801,ENST00000366783,PSEN2,chr1,227057764,227058264,227058764,+
ENSG00000163050,ENST00000366779,ADCK3,chr1,227084737,227085237,227085737,+
ENSG00000143776,ENST00000366769,CDC42BPA,chr1,227505676,227506176,227506676,-
ENSG00000181450,ENST00000343776,ZNF678,chr1,227750744,227751244,227751744,+
ENSG00000143740,ENST00000315781,SNAP47,chr1,227922197,227922697,227923197,+
ENSG00000081692,ENST00000620518,JMJD4,chr1,227922485,227922985,227923485,-
ENSG00000185888,ENST00000366757,PRSS38,chr1,228002894,228003394,228003894,+
ENSG00000143816,ENST00000272164,WNT9A,chr1,228135100,228135600,228136100,-
ENSG00000154342,ENST00000284523,WNT3A,chr1,228194252,228194752,228195252,+
ENSG00000143761,ENST00000541182,ARF1,chr1,228270351,228270851,228271351,+
ENSG00000143793,ENST00000272139,C1orf35,chr1,228290664,228291164,228291664,-
ENSG00000162910,ENST00000366735,MRPL55,chr1,228296206,228296706,228297206,-
ENSG00000143774,ENST00000366718,GUK1,chr1,228331529,228332029,228332529,+
ENSG00000198835,ENST00000366714,GJC2,chr1,228337053,228337553,228338053,+
ENSG00000181873,ENST00000366711,IBA57,chr1,228353016,228353516,228354016,+
ENSG00000154358,ENST00000570156,OBSCN,chr1,228395331,228395831,228396331,+
ENSG00000162913,ENST00000295012,C1orf145,chr1,228400862,228401362,228401862,-
ENSG00000154370,ENST00000284551,TRIM11,chr1,228594042,228594542,228595042,-
ENSG00000162931,ENST00000366697,TRIM17,chr1,228603231,228603731,228604231,-
ENSG00000168148,ENST00000366696,HIST3H3,chr1,228612527,228613027,228613527,-
ENSG00000181218,ENST00000366695,HIST3H2A,chr1,228645075,228645575,228646075,-
ENSG00000196890,ENST00000620438,HIST3H2BB,chr1,228645308,228645808,228646308,+
ENSG00000168159,ENST00000305943,RNF187,chr1,228674262,228674762,228675262,+
ENSG00000116574,ENST00000366691,RHOU,chr1,228870324,228870824,228871324,+
ENSG00000177800,ENST00000323223,TMEM78,chr1,229384883,229385383,229385883,+
ENSG00000168118,ENST00000366690,RAB4A,chr1,229406379,229406879,229407379,+
ENSG00000213029,ENST00000366688,SPHAR,chr1,229440104,229440604,229441104,+
ENSG00000154429,ENST00000284617,CCSAP,chr1,229478189,229478689,229479189,-
ENSG00000143632,ENST00000366684,ACTA1,chr1,229569342,229569842,229570342,-
ENSG00000069248,ENST00000261396,NUP133,chr1,229643589,229644089,229644589,-
ENSG00000135776,ENST00000344517,ABCB10,chr1,229693943,229694443,229694943,-
ENSG00000135801,ENST00000258281,TAF5L,chr1,229761295,229761795,229762295,-
ENSG00000135763,ENST00000258243,URB2,chr1,229761481,229761981,229762481,+
ENSG00000143641,ENST00000366672,GALNT2,chr1,230202456,230202956,230203456,+
ENSG00000177614,ENST00000391860,PGBD5,chr1,230561618,230562118,230562618,-
ENSG00000135775,ENST00000366669,COG2,chr1,230777738,230778238,230778738,+
ENSG00000135744,ENST00000366667,AGT,chr1,230849544,230850044,230850544,-
ENSG00000135773,ENST00000271971,CAPN9,chr1,230882630,230883130,230883630,+
ENSG00000119280,ENST00000366663,C1orf198,chr1,231003900,231004400,231004900,-
ENSG00000143643,ENST00000366661,TTC13,chr1,231114085,231114585,231115085,-
ENSG00000173409,ENST00000310256,ARV1,chr1,231114295,231114795,231115295,+
ENSG00000182118,ENST00000366654,FAM89A,chr1,231175493,231175993,231176493,-
ENSG00000119283,ENST00000366653,TRIM67,chr1,231298216,231298716,231299216,+
ENSG00000143633,ENST00000366649,C1orf131,chr1,231376414,231376914,231377414,-
ENSG00000116906,ENST00000366647,GNPAT,chr1,231376456,231376956,231377456,+
ENSG00000116903,ENST00000366645,EXOC8,chr1,231473099,231473599,231474099,-
ENSG00000010072,ENST00000295050,SPRTN,chr1,231473294,231473794,231474294,+
ENSG00000135766,ENST00000366641,EGLN1,chr1,231560291,231560791,231561291,-
ENSG00000116918,ENST00000366639,TSNAX,chr1,231663899,231664399,231664899,+
ENSG00000270106,ENST00000602956,TSNAX-DISC1,chr1,231663899,231664399,231664899,+
ENSG00000162946,ENST00000366633,DISC1,chr1,231762061,231762561,231763061,+
ENSG00000116991,ENST00000366630,SIPA1L2,chr1,232696805,232697305,232697805,-
ENSG00000212916,ENST00000418460,MAP10,chr1,232940138,232940638,232941138,+
ENSG00000135778,ENST00000366628,NTPCR,chr1,233085870,233086370,233086870,+
ENSG00000135749,ENST00000258229,PCNX2,chr1,233430960,233431460,233431960,-
ENSG00000143674,ENST00000366624,RP5-862P8.2,chr1,233463014,233463514,233464014,+
ENSG00000135750,ENST00000366621,KCNK1,chr1,233749250,233749750,233750250,+
ENSG00000183780,ENST00000366618,SLC35F3,chr1,234040179,234040679,234041179,+
ENSG00000168275,ENST00000366612,COA6,chr1,234508947,234509447,234509947,+
ENSG00000059588,ENST00000040877,TARBP1,chr1,234614350,234614850,234615350,-
ENSG00000168264,ENST00000366609,IRF2BP2,chr1,234744772,234745272,234745772,-
ENSG00000173726,ENST00000366607,TOMM20,chr1,235291752,235292252,235292752,-
ENSG00000188739,ENST00000408888,RBM34,chr1,235324273,235324773,235325273,-
